order_item_key,order_item_id,order_key,product_key,time_key,product_name,product_sku,shop_sku,variation,quantity,item_price,total_item_price,paid_price,item_voucher_discount,shipping_amount,tax_amount,item_status,cancellation_reason,tracking_code,warehouse_code,created_at,updated_at
,1034162660457694,,,20250923,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,24.75,0.0,confirmed,,MP1379809111,dropshipping,2025-09-23 06:29:59+08:00,2025-09-27 22:00:08+08:00
,1034162660557694,,,20250923,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,24.75,0.0,confirmed,,MP1379809111,dropshipping,2025-09-23 06:29:59+08:00,2025-09-27 22:00:08+08:00
,1034196057322248,,,20250923,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-0,3730272243_PH-19667622955,Variation3:Shangrila,1,180.0,180.0,158.83,21.17,29.25,0.0,confirmed,,820133761573,dropshipping,2025-09-23 09:52:45+08:00,2025-09-28 14:08:36+08:00
,1034196057422248,,,20250923,10mL Hanging Car Diffuser by LA Collections,3730272243-1681483587441-0,3730272243_PH-19667622955,Variation3:Shangrila,1,180.0,180.0,158.83,21.17,29.25,0.0,confirmed,,820133761573,dropshipping,2025-09-23 09:52:45+08:00,2025-09-28 14:08:36+08:00
,1042294504456972,,,20250923,Rattan Sticks for Reed Diffusers (5PCS),4726844228-1729943500336-0,4726844228_PH-27339128266,Color family:Brown,1,30.0,30.0,28.5,1.5,19.0,0.0,confirmed,,MP1379955708,dropshipping,2025-09-23 14:15:12+08:00,2025-09-25 13:07:15+08:00
,1042294504556972,,,20250923,Rattan Sticks for Reed Diffusers (5PCS),4726844228-1729943500336-0,4726844228_PH-27339128266,Color family:Brown,1,30.0,30.0,28.5,1.5,19.0,0.0,confirmed,,MP1379955708,dropshipping,2025-09-23 14:15:12+08:00,2025-09-25 13:07:15+08:00
,1034357873966725,,,20250923,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,352.78,42.22,40.5,0.0,confirmed,,MP1379955802,dropshipping,2025-09-23 22:41:10+08:00,2025-09-27 10:59:05+08:00
,1042442755782065,,,20250924,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,40.5,0.0,confirmed,,MP1380163702,dropshipping,2025-09-24 07:36:39+08:00,2025-09-27 17:18:55+08:00
,1034449669426852,,,20250924,1L Waterbased Humidifier Scent,4896157465-1736809929400-4,4896157465_PH-28517434720,Scent:Solaire,1,395.0,395.0,395.0,0.0,22.5,0.0,confirmed,,MP1380163476,dropshipping,2025-09-24 10:56:44+08:00,2025-09-26 19:39:03+08:00
,1034449669526852,,,20250924,1L Waterbased Humidifier Scent,4896157465-1736809929399-1,4896157465_PH-28517434717,Scent:Okada,1,395.0,395.0,395.0,0.0,22.5,0.0,confirmed,,MP1380163476,dropshipping,2025-09-24 10:56:44+08:00,2025-09-26 19:39:03+08:00
